expr1,Target name,RA,DEC,Instrument,Observing Mode,Access Status,Processing Level,Start Time,duration
8612677,Fornax - NGC1399,54.61798368,-35.45424137,SPIRE,SpirePacsParallel,TRUE,LEVEL3_PROCESSED,3/5/2012 19:55,26701
8612724,Fornax - NGC1399,54.61793584,-35.45434578,SPIRE,SpirePacsParallel,TRUE,LEVEL3_PROCESSED,3/6/2012 3:21,28997
8634918,Fornax - NGC1399,54.83825815,-35.46891607,PACS,SpirePacsParallel,TRUE,LEVEL3_PROCESSED,3/4/2012 17:56,28997
8634919,Fornax - NGC1399,54.83825815,-35.46891607,PACS,SpirePacsParallel,TRUE,LEVEL3_PROCESSED,3/5/2012 3:00,26701
8634922,Fornax - NGC1399,54.83776045,-35.47078932,PACS,SpirePacsParallel,TRUE,LEVEL3_PROCESSED,3/5/2012 19:55,26701
8634923,Fornax - NGC1399,54.83776045,-35.47078932,PACS,SpirePacsParallel,TRUE,LEVEL3_PROCESSED,3/6/2012 3:21,28997
8625312,gmp2559,195.1556945,28.05739998,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 5:57,1668
8625313,gmp2559,195.1556945,28.05739998,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 6:25,1668
8625314,gmp2559,195.1545874,28.05706081,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 6:54,1668
8625315,gmp2559,195.1545874,28.05706081,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 7:23,1668
8625285,gmp2910,195.035364,27.86662046,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/8/2012 21:40,1668
8625286,gmp2910,195.035364,27.86662046,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/8/2012 22:09,1668
8625310,gmp2910,195.0348139,27.86603241,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 4:59,1668
8625311,gmp2910,195.0348139,27.86603241,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 5:28,1668
8625306,gmp3896,194.7298205,27.83242597,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 3:03,1668
8625307,gmp3896,194.7298205,27.83242597,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 3:32,1668
8625308,gmp3896,194.7304602,27.83336344,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 4:01,1668
8625309,gmp3896,194.7304602,27.83336344,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 4:30,1668
8625302,gmp4060,194.6752821,27.76007581,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 1:08,1668
8625303,gmp4060,194.6752821,27.76007581,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 1:37,1668
8625304,gmp4060,194.6745046,27.76074413,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 2:06,1668
8625305,gmp4060,194.6745046,27.76074413,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 2:35,1668
8625316,gmp4471,194.5200409,28.24173381,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 7:52,1668
8625317,gmp4471,194.5200409,28.24173381,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 8:21,1668
8625318,gmp4471,194.5197058,28.24236426,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 8:50,1668
8625319,gmp4471,194.5197058,28.24236426,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,6/10/2012 9:18,1668
8520509,Hydra-A,139.5233668,-12.09225376,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,10/24/2010 19:23,721
8622176,Hydra-A,139.5204945,-12.0970039,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,10/25/2010 14:02,571
8622177,Hydra-A,139.5204945,-12.0970039,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,10/25/2010 14:13,571
8622178,Hydra-A,139.5207933,-12.0968351,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,10/25/2010 14:23,571
8622179,Hydra-A,139.5207933,-12.0968351,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,10/25/2010 14:34,571
8638895,Hydra-A,139.5231381,-12.09501514,PACS,PacsLineSpec,TRUE,LEVEL2_PROCESSED,10/31/2010 21:14,11060
8638898,Hydra-A,139.52305,-12.09496066,PACS,PacsLineSpec,TRUE,LEVEL2_PROCESSED,11/1/2010 5:53,11821
