Name,RA,DEC,z,K0,K100,alpha,Tcl,Lbol,UL??,LHa,UL?,Lrad
MACS_J1621.3+3810,245.3533375,38.169069444,0.461,20.08,129.83,1.18,7.53,11.6,?,0.0,=,77.5
MACS_J1931.8-2634,292.95689999,-26.57610833,0.352,14.56,87.52,1.27,7.5,23.4,?,0.0,<,11.6
MACS_J2049.9-3217,312.48435416,-32.28119444,0.3254,195.85,92.71,1.06,6.98,8.71,?,0.0,<,9.64
MACS_J2211.7-0349,332.94106666,-3.827011111,0.27,165.49,78.26,1.59,10.51,22.2,?,0.0,<,6.26
MACS_J2214.9-1359,333.73944583,-14.00259722,0.5026,297.7,171.96,1.46,8.8,24.2,?,0.0,<,27.1
MACS_J2228+2036,337.14113333,20.621752777,0.412,118.79,107.22,1.0,8.4,18.1,?,0.0,<,16.8
MACS_J2229.7-2755,337.43899166,-27.92733611,0.324,12.39,74.97,1.36,5.5,9.6,?,0.0,=,27.9
MACS_J2245.0+2637,341.26940416,26.634294444,0.304,42.03,105.93,1.33,5.1,9.47,?,0.0,=,19.1
MKW3S,230.46637499,7.7088805555,0.045,23.94,131.08,0.96,3.5,1.14,=,1.69,=,0.588
MKW_04,181.11340833,1.8952194444,0.0198,6.86,392.7,1.26,2.16,0.029,?,0.0,<,0.024
MKW_08,220.16513749,3.4704472222,0.027,130.68,228.51,0.87,3.29,0.851,?,0.0,<,0.036
MS_0016.9+1609,4.6395958333,16.436941666,0.541,162.07,64.17,1.29,9.9,33.2,?,0.0,<,32.4
MS_0116.3-0115,19.724766666,-1.002094444,0.0452,12.77,220.8,0.63,1.84,0.0,?,0.0,=,0.167
MS_0440.5+0204,70.791466666,2.1718611111,0.19,25.46,164.03,1.11,5.02,2.21,=,124.0,<,2.24
MS_0451.6-0305,73.54585,-3.014497222,0.5386,568.13,15.61,2.81,8.62,33.6,?,0.0,<,32.1
MS_0735.6+7421,115.43435416,74.243952777,0.216,15.96,106.79,1.14,5.45,7.65,=,124.0,=,31.8
MS_0839.8+2938,130.73320416,29.457491666,0.194,19.19,105.79,1.33,3.8,3.13,=,64.7,=,29.2
MS_0906.5+1110,137.3031375,10.975555555,0.163,104.23,97.32,1.15,8.1,4.69,<,6.38,<,2.01
MS_1006.0+1202,152.19775833,11.793419444,0.221,160.28,82.81,1.32,7.03,4.81,<,8.68,<,3.14
MS_1008.1-1224,152.63463333,-12.66577777,0.301,97.62,262.05,0.76,7.47,8.53,<,19.7,<,8.04
MS_1455.0+2232,224.31286666,22.342358333,0.259,16.88,81.47,1.39,4.51,10.4,?,0.0,=,37.5
MS_2137.3-2353,325.06324166,-23.66130833,0.313,14.68,89.85,1.39,6.3,11.4,?,0.0,=,13.4
MS_J1157.3+5531,179.96789583,55.534891666,0.081,5.93,277.01,1.45,2.91,0.124,?,0.0,<,0.444
NGC_0507,20.916270833,33.256036111,0.0164,0.0,99.89,0.65,1.4,0.24,?,0.0,=,0.324
NGC_4636,190.70773333,2.6877388888,0.0031,1.42,11962.07,1.96,0.66,0.0,?,0.0,=,0.014
NGC_5044,198.84977916,-16.38545,0.009,2.28,82.15,0.96,1.22,0.209,?,0.0,=,0.054
NGC_5813,225.29691666,1.7020083333,0.0066,1.38,102.51,0.91,0.76,0.026,?,0.0,=,0.012
NGC_5846,226.62203749,1.6055916666,0.0057,1.83,685.78,1.44,0.64,0.019,?,0.0,=,0.013
OPHIUCHUS,258.11554583,-23.36853888,0.028,8.95,247.48,0.73,11.79,2.78,?,0.0,=,0.566
PKS_0745-191,116.88098333,-19.29438333,0.1028,12.41,110.7,1.39,8.5,21.6,=,28.0,=,700.0
RBS_0461,55.322874999,15.398516666,0.029,95.67,68.8,1.39,2.6,0.0,<,0.088,=,0.308
RBS_0533,64.908770833,2.4098722222,0.0123,2.22,164.34,1.0,1.29,0.0,<,0.016,=,0.061
RBS_0797,146.80288749,76.387055555,0.354,19.49,97.67,1.67,6.43,26.3,?,0.0,=,102.0
RCS_J2327-0204,351.86468333,-2.077502777,0.2,68.55,217.2,1.28,7.06,0.0,?,0.0,<,2.51
RXCJ0331.1-2100,52.775083333,-21.00914722,0.188,11.4,134.1,1.3,4.61,0.0,?,0.0,=,147.0
RXC_J1023.8-2715,155.95914999,-27.25660277,0.0963,20.86,255.29,1.45,8.43,0.0,?,0.0,?,0.0
RX_J0220.9-3829,35.235758333,-38.48089166,0.2287,43.0,159.95,1.23,4.86,0.0,?,0.0,<,3.4
RX_J0232.2-4420,38.078212499,-44.3463,0.2836,44.62,166.53,1.16,7.84,18.3,?,0.0,<,12.6
RX_J0439+0520,69.759241666,5.3453083333,0.208,14.92,95.47,1.19,4.63,3.61,=,68.7,=,89.5
RX_J0439.0+0715,69.752958333,7.2687916666,0.23,66.75,129.57,1.06,6.5,9.56,<,6.65,<,4.34
